BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CRASH DATE,CRASH TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,_id
,Following Too Closely,Unspecified,3/26/2022,5:00,0,0,Sedan,Sedan,65226c0c27407f3e1fedf92f
,Traffic Control Disregarded,Unspecified,3/25/2022,6:15,1,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf930
,Driver Inattention/Distraction,Driver Inattention/Distraction,3/26/2022,21:50,1,0,Taxi,Sedan,65226c0c27407f3e1fedf931
BROOKLYN,Driver Inattention/Distraction,Unspecified,3/26/2022,21:25,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf932
BROOKLYN,Unspecified,Unspecified,3/25/2022,18:13,2,0,Sedan,Sedan,65226c0c27407f3e1fedf933
BRONX,Unspecified,,3/26/2022,20:10,1,0,Sedan,,65226c0c27407f3e1fedf934
,Passing Too Closely,Unspecified,3/25/2022,12:55,0,0,Station Wagon/Sport Utility Vehicle,Pick-up Truck,65226c0c27407f3e1fedf935
,Driver Inattention/Distraction,Unspecified,3/23/2022,11:00,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf936
BROOKLYN,Unspecified,,3/26/2022,3:05,1,0,Sedan,,65226c0c27407f3e1fedf937
BRONX,Unspecified,,3/26/2022,4:34,1,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf938
BROOKLYN,Unspecified,,3/26/2022,19:56,0,0,Sedan,,65226c0c27407f3e1fedf939
BROOKLYN,Unspecified,Unspecified,3/26/2022,12:40,0,0,Sedan,Sedan,65226c0c27407f3e1fedf93a
BRONX,Turning Improperly,Unspecified,3/26/2022,1:58,0,0,Sedan,Sedan,65226c0c27407f3e1fedf93b
,Unspecified,Unspecified,3/26/2022,19:56,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf93c
BROOKLYN,Unspecified,Unspecified,3/26/2022,0:30,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf93d
MANHATTAN,Unspecified,,3/16/2022,15:44,1,0,Bike,,65226c0c27407f3e1fedf93e
BROOKLYN,Driver Inattention/Distraction,Unspecified,3/26/2022,20:05,0,0,Sedan,Sedan,65226c0c27407f3e1fedf93f
BROOKLYN,Passing Too Closely,Unspecified,3/26/2022,17:54,4,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf940
,Traffic Control Disregarded,Unspecified,3/25/2022,17:55,0,0,Sedan,Motorcycle,65226c0c27407f3e1fedf941
,Unspecified,,12/12/2021,9:09,0,1,Taxi,,65226c0c27407f3e1fedf942
BROOKLYN,Following Too Closely,Unspecified,4/13/2021,16:00,0,0,Sedan,,65226c0c27407f3e1fedf943
,Glare,Unspecified,8/5/2021,18:17,0,0,Sedan,Sedan,65226c0c27407f3e1fedf944
BROOKLYN,Driver Inattention/Distraction,Unspecified,3/26/2022,16:35,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf945
